reading_date,week_id,sort_order,meter_id,b_code,floor,subb_code,building_name,raw_reading,raw_unit,reader,note
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,55,T.0019__FL04__PP41,T.0019,FL04,PP41,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 4/1,66873.36,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,56,T.0019__FL04__PP42,T.0019,FL04,PP42,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 4/2,33188.64,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,57,T.0019__FL04__AP4,T.0019,FL04,AP4,ท.0019 ชั้นที่ 4 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 4,74275.09,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,58,T.0019__FL05__SCB_5,T.0019,FL05,SCB 5,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.",219945.02,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,59,T.0019__FL05__LP5,T.0019,FL05,LP5,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบแสงสว่าง 5,78601.58,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,60,T.0019__FL05__PP51,T.0019,FL05,PP51,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/1,18338.92,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,61,T.0019__FL05__PP52,T.0019,FL05,PP52,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/2,20918.61,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,62,T.0019__FL05__AP5,T.0019,FL05,AP5,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 5,67427.17,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,63,T.0019__FL06__SCB_6,T.0019,FL06,SCB 6,ท.0019 ชั้นที่ 6 อบฟ.,213192.02,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,64,T.0019__FL06__LP6,T.0019,FL06,LP6,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบแสงสว่าง 6,71830.57,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,65,T.0019__FL06__PP61,T.0019,FL06,PP61,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 6/1,18942.47,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,66,T.0019__FL06__PP62,T.0019,FL06,PP62,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 6/2,9224.46,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,67,T.0019__FL06__AP6,T.0019,FL06,AP6,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 6,64097.4,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,68,T.0019__FL07__SCB_7,T.0019,FL07,SCB 7,ท.0019 ชั้นที่ 7 อบฟ.,273862.21,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,69,T.0019__FL07__LP7,T.0019,FL07,LP7,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบแสงสว่าง 7,103087.68,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,70,T.0019__FL07__PP71,T.0019,FL07,PP71,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 7/1,31108.77,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,71,T.0019__FL07__PP72,T.0019,FL07,PP72,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 7/2,30209.31,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,72,T.0019__FL07__AP7,T.0019,FL07,AP7,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 7,33731.8,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,73,T.0019__FL08__SCB_8,T.0019,FL08,SCB 8,ท.0019 ชั้นที่ 8 อบค.,258810.52,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,74,T.0019__FL08__LP8,T.0019,FL08,LP8,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบแสงสว่าง 8,76378.19,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,75,T.0019__FL08__PP81,T.0019,FL08,PP81,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 8/1,49791.67,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,76,T.0019__FL08__PP82,T.0019,FL08,PP82,ท.0019 ชั้นที่ 8 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 8/2,5965.14,kWh,,
