department,allocation_ratio,building_name,thai_code,b_code_hint,floor_hint,source_row
อบฟ.,1.0,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด,ท.0018,T.0018,,84
อบฟ.,1.0,ท.0019 ชั้นที่ 6 อบฟ.,ท.0019,T.0019,FL06,85
อบฟ.,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบแสงสว่าง 6,ท.0019,T.0019,FL06,86
อบฟ.,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 6/1,ท.0019,T.0019,FL06,87
อบฟ.,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 6/2,ท.0019,T.0019,FL06,88
อบฟ.,0.0,ท.0019 ชั้นที่ 6 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 6,ท.0019,T.0019,FL06,89
อบฟ.,1.0,ท.0019 ชั้นที่ 7 อบฟ.,ท.0019,T.0019,FL07,90
อบฟ.,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบแสงสว่าง 7,ท.0019,T.0019,FL07,91
อบฟ.,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 7/1,ท.0019,T.0019,FL07,92
อบฟ.,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 7/2,ท.0019,T.0019,FL07,93
อบฟ.,0.0,ท.0019 ชั้นที่ 7 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 7,ท.0019,T.0019,FL07,94
อบฟ.,0.5,"ท.0019 ชั้นที่ 5 อคม.,อบฟ.",ท.0019,T.0019,FL05,95
อบฟ.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบแสงสว่าง 5,ท.0019,T.0019,FL05,96
อบฟ.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/1,ท.0019,T.0019,FL05,97
อบฟ.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 5/2,ท.0019,T.0019,FL05,98
อบฟ.,0.0,ท.0019 ชั้นที่ 5 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 5,ท.0019,T.0019,FL05,99
อคม.,0.16666666666666666,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019,T.0019,FL01,101
